name,weight,polyline,polygon,dimensions,history,image,link,entityIds,themes,types
Wilson Street,0,"43.18773648268606,-80.06382738748276,43.187517067051886,-80.06511930885348,43.18700470645786,-80.06805594736664,43.18652276610398,-80.0706451731341,43.18652276610398,-80.0706451731341,43.18646616293526,-80.07094900201989,43.186421417016604,-80.07122717746968,43.18637667041738,-80.07150535252416,43.20510837071701,-80.00661131161198,43.204475186836696,-80.00754749924282,43.204407079841516,-80.00765803437507,43.20434005314609,-80.00776855175012,43.20427395016524,-80.00788176198385,43.2042089274791,-80.00799495446613,43.20414390467783,-80.00810814670872,43.20412010581911,-80.00815120157999,43.237328693708186,-79.97029492751136,43.23786530544283,-79.96984780449037,43.23794416649643,-79.96977565776871,43.238021569233915,-79.96970156483961,43.238098132786945,-79.96962428364587,43.23817250776999,-79.9695439600823,43.238245235481465,-79.96946070818585,43.23831650263725,-79.96937526378136,43.2383863025747,-79.96928688800315,43.238454462990056,-79.96919644589282,43.23852044368323,-79.96910394655885,43.23858486710759,-79.96900851736665,43.238688537565764,-79.96885170658135,43.23878838091478,-79.9686899101076,43.23888367687362,-79.96852314010297,43.238973622902826,-79.96835227227082,43.23905983068292,-79.96817629412683,43.23914077963743,-79.96799633982631,43.23921637971564,-79.96781241092056,43.23928753011231,-79.967624369096,43.239353340487575,-79.96743333789837,43.239413801932265,-79.96723833220027,43.239733825937556,-79.9655947235221,43.20656197871669,-80.00445469523552,43.20619110587792,-80.00501672676248,43.205986668133214,-80.00532373162592,43.205860782775005,-80.00550974866572,43.21076412215209,-79.99802129748579,43.2099449419067,-79.99927339664757,43.20983245997285,-79.99944684463586,43.20983245997285,-79.99944684463586,43.20976111337721,-79.99955671287691,43.19159619987382,-80.04189315680445,43.19109984247427,-80.04473369600855,43.19022110022291,-80.04977551047257,43.18929644990722,-80.05484619368856,43.188379870131726,-80.06003880106854,43.18773648268606,-80.06382738748276,43.2192060285784,-79.98514463232671,43.21982295609331,-79.98419310549684,43.22027677576794,-79.98349200016116,43.21781338657686,-79.9872803706672,43.218574880684315,-79.98611816826237,43.2192060285784,-79.98514463232671,43.244729580231926,-79.949841259237,43.2447901963518,-79.94974191635961,43.24482903919044,-79.94966530642083,43.24487149286561,-79.9495678281363,43.244902664862245,-79.9494840676343,43.24495889692295,-79.94931353049078,43.24502171418101,-79.94911479138727,43.24506143703253,-79.9489684646382,43.245090705476194,-79.94884312375011,43.245105823918344,-79.94876513805997,43.245105823918344,-79.94876513805997,43.2451153923508,-79.94871578090695,43.24513983049504,-79.94856139405942,43.24517536981434,-79.94831306734955,43.24517536981434,-79.94831306734955,43.24518699410245,-79.94823184315443,43.24520565460343,-79.94811084546052,43.2452372748315,-79.94791056062249,43.24527909991354,-79.94766224532644,43.24532252179503,-79.94742222473688,43.24537920883951,-79.94713620131789,43.245443364933074,-79.94683548421101,43.2455033027832,-79.94657229071682,43.24557055641048,-79.94627776094362,43.24567175174961,-79.94587029031726,43.245790830436896,-79.94542297745227,43.245902864270256,-79.9450347803829,43.24592350517687,-79.94496864715308,43.24594468737108,-79.9449026277134,43.24595600325171,-79.94487009817749,43.245967319122975,-79.94483756862965,43.24599076112275,-79.94477249551032,43.24601493242854,-79.94470839517481,43.246039825087806,-79.9446444055124,43.24606553595067,-79.94458126391777,43.246091977259695,-79.94451921826119,43.24611913878807,-79.94445716011388,43.246147120796614,-79.94439619634727,43.24617513914444,-79.94433917360588,43.24620387885349,-79.94428226153174,43.246234077228905,-79.94422729506597,43.24626591547368,-79.94417439425615,43.24629838391511,-79.94412148250505,43.24633249222964,-79.94407063640729,43.2463672489344,-79.94402174991178,43.24640363642121,-79.94397394379615,43.24643194698591,-79.94393884141847,43.214913883051935,-79.99168356953598,43.21486385927382,-79.99175986357092,43.2148314255788,-79.99180902853125,43.213063096385625,-79.99450045440372,43.21172370078151,-79.99655696205485,43.225146742616836,-79.97727717538541,43.225372313997724,-79.97714681966819,43.22607653426788,-79.9767504841508,43.22436727675317,-79.97772782710295,43.225146742616836,-79.97727717538541,43.223950801354384,-79.97803905017068,43.22397978380387,-79.97800741315375,43.22403781027571,-79.97795103349824,43.224098115045,-79.97789769401885,43.224160716817956,-79.97784948768619,43.22422489423687,-79.97780630342986,43.224290549573055,-79.97776728095448,43.224357780565555,-79.97773328057896,43.22436727675317,-79.97772782710295,43.222272273052134,-79.98049435829816,43.22300438509743,-79.97944797363351,43.2234263188693,-79.97879953678249,43.22377056196689,-79.97827466008275,43.22381871764774,-79.97820194586407,43.22386988176396,-79.97813336781752,43.223923334058775,-79.97806893797524,43.223950801354384,-79.97803905017068,43.220318347908,-79.98342789936072,43.22118724561779,-79.98208552466514,43.22130090509476,-79.9819563188472,43.22215383995348,-79.98066366573855,43.222272273052134,-79.98049435829816,43.22027677576794,-79.98349200016116,43.220318347908,-79.98342789936072,43.21172370078151,-79.99655696205485,43.2116902929401,-79.99660823074788,43.21162807041502,-79.99670059773347,43.21076412215209,-79.99802129748579,43.239733825937556,-79.9655947235221,43.239927327421135,-79.96452826102887,43.24026230139148,-79.96249132538821,43.2404460338659,-79.961483411948,43.24062975739024,-79.96047549261012,43.240990970199874,-79.9587767763925,43.24110889522105,-79.95820917953546,43.24113916366794,-79.95807219329498,43.24117240301099,-79.95793515628083,43.24120719068776,-79.95780006341799,43.241244959364394,-79.95766602809425,43.24128426740744,-79.95753295170506,43.2413266453668,-79.95740080814086,43.24137048277026,-79.95727073337004,43.24141657980932,-79.95714160521854,43.241464946593084,-79.9570145320221,43.24151557414398,-79.95688852857214,43.24197808980855,-79.95560989242578,43.24221716210857,-79.95493945613504,43.24221716210857,-79.95493945613504,43.24264244388606,-79.95374690867054,43.2431766843153,-79.95227090563637,43.24321181381282,-79.9521738595396,43.24324848279618,-79.95207777232166,43.24328741152346,-79.9519826316293,43.24332853027707,-79.9518906557573,43.24337199768606,-79.95179950169947,43.24341691568995,-79.95170943119257,43.24346420267065,-79.95162239925008,43.24351294928483,-79.95153743608033,43.24356395566428,-79.95145341939971,43.24361643071667,-79.95137245671664,43.243673469111435,-79.9512883362757,43.243730516475736,-79.95120520091086,43.24378829419649,-79.95112316142111,43.243846061691855,-79.95104001338726,43.24390456858093,-79.9509589464622,43.2439638856977,-79.95087786547593,43.24402311272282,-79.95079678587754,43.24408243988772,-79.95071681296996,43.24414248612002,-79.95063670438833,43.24420254246308,-79.95055770404464,43.24457543551008,-79.95005860167724,43.24462955313469,-79.94998992575728,43.24468066122353,-79.9499171134488,43.244729491330716,-79.94984138393977,43.244729580231926,-79.949841259237,43.233950154404575,-79.97303903462114,43.2340059297171,-79.9730029990895,43.23407528164302,-79.97295466637657,43.234144632440966,-79.97290621041722,43.2342132552149,-79.97285690449412,43.23428176802943,-79.97280538352484,43.23504603587718,-79.97217885901553,43.23608217630587,-79.9713249530168,43.237289547643314,-79.97032760848468,43.237328693708186,-79.97029492751136,43.181728645161705,-80.08457137476607,43.18100735393022,-80.0861353818549,43.180921850062525,-80.08633217959067,43.18083842749757,-80.08653029926474,43.180756005789604,-80.08672975699727,43.18067449489513,-80.0869305541346,43.18059505546577,-80.0871314429196,43.18051770713139,-80.08733488401256,43.18044225017972,-80.08753841946957,43.18036680267101,-80.08774318474693,43.18029442780559,-80.08794938033411,43.18022305375292,-80.08815691404517,43.176719203983374,-80.09774039510897,43.17658608188328,-80.09811319401972,43.18512732549439,-80.07752350807026,43.185101875221,-80.07758345032971,43.184986811911095,-80.07783129407052,43.18392790785965,-80.07989545867885,43.183305912057875,-80.08117900610304,43.18244221454568,-80.0830240581355,43.181728645161705,-80.08457137476607,43.207316002525275,-80.0033119142707,43.20656197871669,-80.00445469523552,43.20976111337721,-79.99955671287691,43.209142896356624,-80.00050942500057,43.22823293915685,-79.97555034530177,43.228277564917754,-79.97552607766568,43.22925997097476,-79.97503354635867,43.22980512478369,-79.974763711548,43.22607653426788,-79.9767504841508,43.22659009496792,-79.97646150562382,43.22750619993296,-79.97594536212253,43.22823293915685,-79.97555034530177,43.231017067549395,-79.97415203909853,43.23113126578474,-79.97409396803555,43.23184405311862,-79.9737504924916,43.23192252800022,-79.97371530946037,43.23200174191209,-79.97368220748326,43.232081783784075,-79.97365106192457,43.2321625834719,-79.9736240906722,43.23224339199036,-79.97359810440152,43.23232495722432,-79.97357616932828,43.232406541235726,-79.9735563274417,43.23248896315993,-79.97353955020866,43.23257140386407,-79.97352486618108,43.232653781050956,-79.97351313880736,43.2327474670027,-79.97349728073608,43.232841133060326,-79.97347920621849,43.23293470134516,-79.97346027122138,43.23302761066443,-79.97343814527365,43.233120402317745,-79.97341294242699,43.23321246486048,-79.97338676652205,43.23330522997475,-79.97335860830046,43.23339653466288,-79.97332825775968,43.23348781281568,-79.9732949519014,43.23357899097638,-79.97326053924206,43.23365147819025,-79.97322040579213,43.23372315398827,-79.97318016271643,43.233793991841225,-79.97313685477715,43.233865641075816,-79.9730936562646,43.23393582987001,-79.97304826540606,43.233950154404575,-79.97303903462114,43.22980512478369,-79.974763711548,43.23017214647523,-79.97458207583232,43.231017067549395,-79.97415203909853,43.193290838813546,-80.03147209198103,43.19266716535109,-80.03540385607631,43.19240898598003,-80.03700537631748,43.19240898598003,-80.03700537631748,43.19191687199799,-80.04005809785993,43.19159619987382,-80.04189315680445,43.209142896356624,-80.00050942500057,43.20877558701346,-80.00107541962757,43.1941076283362,-80.02666274203042,43.19408295462784,-80.02678965400459,43.194063850929155,-80.02689389334468,43.1940447471348,-80.02699813262134,43.19401050079195,-80.02720654805493,43.19397824634161,-80.0274162854301,43.19382914977522,-80.02835130231308,43.193798722460166,-80.0285431638725,43.193768397393434,-80.02873650049739,43.19373697904453,-80.02892837739054,43.19370457103222,-80.02912039285002,43.19367323058449,-80.02931091431002,43.19363983154185,-80.02950294507313,43.193606432174654,-80.02969497563227,43.19357301996054,-80.02988552931305,43.19353862956253,-80.03007757515061,43.19350422632241,-80.03026814410507,43.19331973172133,-80.03128985736727,43.193290838813546,-80.03147209198103,43.18637667041738,-80.07150535252416,43.185794383371615,-80.07512418429765,43.18574970579822,-80.0754120741387,43.18569699140681,-80.07569725451481,43.185635250811565,-80.07597986330123,43.18556645290567,-80.07625839400941,43.1854886179134,-80.07653299945807,43.18548582920397,-80.07654185420961,43.1854717717371,-80.0765864896404,43.18543553690471,-80.07670154254606,43.185403805773745,-80.07680229487498,43.185310856970624,-80.0770676512776,43.18520995061045,-80.07732894282375,43.18512732549439,-80.07752350807026,43.2148314255788,-79.99180902853125,43.21424965521448,-79.99269044658466,43.213667877832194,-79.99357184790179,43.213414170859416,-79.99396140194955,43.213414170859416,-79.99396140194955,43.213063096385625,-79.99450045440372,43.21528839368884,-79.99111241777297,43.214913883051935,-79.99168356953598,43.198557774014304,-80.01795221083802,43.1981460196708,-80.01858530165865,43.19720473884043,-80.02000620817212,43.196263439781774,-80.02142707105598,43.19618438212074,-80.02154328926771,43.196107327200984,-80.02166205981392,43.196031365197435,-80.02178228953224,43.195956302358105,-80.02190238151103,43.195883334382934,-80.0220252705163,43.19581037784281,-80.02214951289398,43.19581037784281,-80.02214951289398,43.1957394261173,-80.02227655373653,43.195670453958385,-80.0224034396037,43.19560248360294,-80.02253166303738,43.19553560613258,-80.02266134566244,43.19512132988561,-80.02360208216642,43.19512132988561,-80.02360208216642,43.195046322653376,-80.02377240496077,43.194971055292626,-80.02392154163326,43.19489932008393,-80.02407308315405,43.19482958957627,-80.02422742310567,43.19476285309125,-80.0243844226572,43.19470017844368,-80.02454258791428,43.194639508468214,-80.02470355164134,43.194581923570404,-80.02486729664206,43.1945283104523,-80.02503220884614,43.1944776913097,-80.0251997807421,43.1944300556472,-80.02536878177075,43.194371781284595,-80.02556798196005,43.194316399211985,-80.02576848957337,43.194263088632056,-80.02596908694983,43.194213851261104,-80.02617220375812,43.19416750720773,-80.02637675112652,43.194145375679035,-80.02647962352313,43.19412324405703,-80.0265824958469,43.1941076283362,-80.02666274203042,43.20877558701346,-80.00107541962757,43.208407458367255,-80.00164282927001,43.20835369992525,-80.00171767693728,43.208288940434734,-80.00179949638837,43.20823134306246,-80.00186923064076,43.207706419940976,-80.00271840759052,43.20734149370906,-80.00327326822011,43.207316002525275,-80.0033119142707,43.17658608188328,-80.09811319401972,43.17507063584098,-80.1023570502771,43.205860782775005,-80.00550974866572,43.20568536989054,-80.00576894554354,43.20115869962061,-80.01410045165228,43.20087618400859,-80.01448661642195,43.20059693624166,-80.01487719545317,43.20032099324587,-80.0152721370404,43.200048391509824,-80.01567138890337,43.19977916707995,-80.01607489819399,43.19977824382346,-80.01607631433522,43.19977824382346,-80.01607631433522,43.19951335555543,-80.01648261150329,43.198557774014304,-80.01795221083802,43.21781338657686,-79.9872803706672,43.21762201107011,-79.98757237997411,43.21670981341379,-79.98895409569492,43.21656097163861,-79.98917979545051,43.215690981723625,-79.99049898939597,43.215623540114585,-79.9906012507366,43.21528839368884,-79.99111241777297,43.21656097163861,-79.98917979545051,43.216112393654385,-79.98985999646249,43.216112393654385,-79.98985999646249,43.215690981723625,-79.99049898939597,43.20412010581911,-80.00815120157999,43.20407980664494,-80.00822415488507,43.20395576245675,-80.00845733419334,43.20383480240709,-80.00869317066376,43.203311871118,-80.00977106396,43.202918579192335,-80.01057616600784,43.202850933318764,-80.01070784910304,43.202784519438424,-80.01084069872127,43.20271934831665,-80.0109746933248,43.2026554305174,-80.01110981119058,43.20259277640128,-80.0112460304136,43.202531396124165,-80.01138332891063,43.202480697319466,-80.01149335332825,43.202428913150825,-80.01160242902644,43.202376053116744,-80.0117105360004,43.20232212691289,-80.01181765442307,43.2022671444307,-80.01192376464896,43.20221111575495,-80.01202884721756,43.20221111575495,-80.01202884721756,43.202181092225146,-80.01208394950751,43.20215078101399,-80.01213875668257,43.20212018367366,-80.01219326593652,43.20208930177088,-80.01224747447834,43.202058136887395,-80.0123013795325,43.20202669061884,-80.01235497833898,43.20199496457573,-80.01240826815345,43.201962960382744,-80.01246124624747,43.20193067967867,-80.0125139099085,43.20189812411666,-80.01256625644018,43.20186529536387,-80.01261828316235,43.20183219510139,-80.01266998741131,43.20179882502424,-80.0127213665398,43.20176518684131,-80.01277241791726,43.20173128227504,-80.01282313892996,43.2016971130618,-80.01287352698107,43.201662680951266,-80.01292357949079,43.201627987706686,-80.01297329389658",0,3,,,,34,Business,Street
Stuart Street,4,"43.267518810416284,-79.87528324127197,43.26800317261725,-79.87348079681396,43.2664250751396,-79.86674308776855,43.26628445060681,-79.86665725708008",0,3,,,,35,,Street
Strathcona Avenue,4,"43.25925280976721,-79.88644123077393,43.261487397002796,-79.88556146621704,43.261393639746174,-79.88530397415161,43.2664250751396,-79.88324403762817",0,3,,,,36,,Street
Martin Golf Course,4,"43.24635935890701,-79.90792036056519,43.2468907792964,-79.90804910659789,43.24745345465544,-79.90882158279419,43.248656937281254,-79.90837097167967,43.24843812402704,-79.90485191345215,43.24861004879297,-79.90453004837036,43.25125137737856,-79.90337133407593,43.25251729899337,-79.89957332611084,43.2521890996199,-79.89802837371826,43.24850064217987,-79.90021705627441,43.24570289202524,-79.9009895324707,43.24593734529513,-79.90804910659789,43.24635935890701,-79.90792036056519",1,2,,,,37,Politicians,Golf
Beddoe Golf Course,4,"43.25265795532632,-79.9138855934143,43.25211095665124,-79.91472244262695,43.249266484344645,-79.91697549819946,43.24826619877583,-79.91828441619873,43.24609364697378,-79.9183702468872,43.24617179766269,-79.91201877593994,43.2460154961846,-79.90826368331909,43.24660943966778,-79.90828514099121,43.24745345465544,-79.90922927856445,43.249016414492466,-79.90862846374512,43.24898515568875,-79.90740537643433,43.251298263833526,-79.9074912071228,43.25137640784492,-79.90841388702393,43.251704611597944,-79.910409450531,43.25222035677929,-79.91257667541504,43.25265795532632,-79.9138855934143",1,2,,,,38,Business,Golf
Allan A. Greenleaf Elementary School,-1,"43.33424046777161,-79.91286635398865,43.3346013904134,-79.91247743368149,43.33456042092414,-79.91238623857498,43.33458773392006,-79.91235136985779,43.33451554954704,-79.91222262382507,43.33454091163383,-79.91219580173492,43.33441605202742,-79.91197854280472,43.33439654269075,-79.91199731826781,43.33436727867396,-79.91196513175964,43.33433021089912,-79.91196513175964,43.3343146034082,-79.91192758083344,43.334236565893484,-79.91191148757935,43.33419169427711,-79.91193562746047,43.33414877356954,-79.91192489862442,43.334086343395306,-79.91182565689087,43.33401806031875,-79.91189807653427,43.33398879611958,-79.91185784339905,43.333941973371545,-79.91190075874329,43.33399855085419,-79.91198122501373,43.33398879611958,-79.91211801767348,43.33397123759329,-79.91213679313658,43.334209252739626,-79.91254985332489,43.33411755849043,-79.91264909505844,43.33424046777161,-79.91286635398865",1,2,,,,39,Education,School
Amisfield,-1,"43.25147018052627,-79.871866106987,43.25130607823918,-79.87193048000336,43.251372500646745,-79.87223088741302,43.251532695566965,-79.87216114997864,43.25147018052627,-79.871866106987",1,2,,,,40,Heritage,Building
Auchmar Road,4,"43.244233630988134,-79.89583969116211,43.24324107821136,-79.89181637763977,43.243139477408434,-79.89168763160706,43.24299098362246,-79.89179491996765,43.24281904299701,-79.89200949668884,43.2425689466756,-79.8921275138855,43.24226414039574,-79.8921275138855,43.241935885773486,-79.89241719245909,43.24177175779915,-79.89257812499999,43.241451316193974,-79.89273905754088",0,3,,,,41,"Politicians,Business,Veterans",Street
Augustus Jones Fountain,4,"43.21657287083469,-79.75310325622559,43.216604146267464,-79.75292354822159,43.21647904444019,-79.75289404392242,43.216455587818984,-79.75306838750839,43.21657287083469,-79.75310325622559",1,2,,,,42,Farmer,Statue
Balfour Drive,4,"43.242826858490524,-79.89842534065247,43.2443508605633,-79.89776015281677,43.244124216514486,-79.89680528640747",0,3,,,,43,Business,Street
Ballinahinch,-1,"43.24684388944852,-79.8749828338623,43.247226822149855,-79.87486481666565,43.24707833832693,-79.87399578094482,43.24696111400052,-79.87404942512512,43.24675792463369,-79.87454295158386,43.24684388944852,-79.8749828338623",1,2,,,,44,"Heritage,Business",Building
Beckett Drive,4,"43.244811961370104,-79.89528179168701,43.24470254793515,-79.89427328109741,43.24406169386987,-79.89178419113159,43.24406169386987,-79.89099025726318,43.2439522790874,-79.89015340805054,43.244811961370104,-79.8874282836914,43.244890113703335,-79.8860764503479,43.245077678893985,-79.88556146621704,43.245609110464635,-79.88468170166014",0,3,,,,45,Farmers,Street
Begue Street,4,"43.261088927665014,-79.96834516525269,43.26115143283164,-79.9695360660553,43.260987356632384,-79.97056603431702",0,3,,,,46,"Business,Politicians",Street
Bernie Arbour Memorial Stadium,-1,"43.21095476100393,-79.82208967208862,43.21170543611505,-79.82261538505554,43.21221370047567,-79.82226133346558,43.21240918564037,-79.8217248916626,43.21242482442649,-79.82129573822021,43.21212768680473,-79.82087731361389,43.21161942172725,-79.8205554485321,43.21146303162048,-79.82064127922058,43.21134573877724,-79.82096314430237,43.21125190434024,-79.82087731361389,43.21100167846905,-79.82152104377747,43.2109078435027,-79.82142448425293,43.21083746718319,-79.82176780700684,43.21095476100393,-79.82208967208862",1,2,,,,47,"Veterans,Sports",Park
Bennetto Elementary School,-1,"43.27004213897326,-79.86142158508301,43.27067881370709,-79.86112654209137,43.27051866915559,-79.86037015914916,43.26988199274653,-79.86064910888672,43.27004213897326,-79.86142158508301",1,2,,,,48,Education,School
Biggar Avenue,4,"43.26060451044793,-79.83440637588501,43.2593934505431,-79.82941746711731",0,3,,,,49,Politicians,Street
Binkley Crescent,4,"43.25930750344088,-79.92833733558655,43.25989350400417,-79.92846608161926,43.26012008937666,-79.92841243743896,43.26036230039409,-79.92824077606201,43.26051856505525,-79.92784380912781,43.26062795007943,-79.92753267288208,43.260667016111874,-79.92710351943968,43.26060451044793,-79.92671728134155,43.26051075183172,-79.92653489112854,43.2603076076679,-79.92636322975159,43.25987787739568,-79.92629885673522",0,3,,,,50,Settlers,Street
Bishop Ryan High School,-1,"43.18146781800282,-79.81733679771423,43.18210150687528,-79.81703639030457,43.18171034168155,-79.81520175933838,43.18105317851413,-79.81546998023985,43.18146781800282,-79.81733679771423",1,2,,,,51,Education,School
Book Road,4,"43.1664372937357,-80.07994651794434,43.168941333850505,-80.06518363952637,43.17401170068047,-80.03591537475586,43.177548188824325,-80.0174617767334,43.179488475835505,-80.00621795654297,43.18452667513763,-79.97686386108398,43.18621641284845,-79.96707916259766,43.186404158595806,-79.96467590332031,43.18659190376572,-79.96321678161621,43.187092554729155,-79.96192932128906,43.1916608050817,-79.93583679199219",0,3,,,,52,Settlers,Street
Brucedale Avenue,4,"43.23990379398757,-79.87880229949951,43.23954426299982,-79.87697839736938,43.23846565730747,-79.87305164337158,43.23712128145412,-79.86732244491577,43.2346044050574,-79.85713005065918,43.23222812821515,-79.84721660614012,43.230946150916765,-79.8416805267334,43.23072727404892,-79.84090805053711,43.23063346943635,-79.83996391296385,43.23032078635177,-79.83807563781738,43.228851154366794,-79.83331203460693,43.22825703776172,-79.82983589172363,43.226974976935665,-79.8242998123169",0,3,,,,53,Settlers,Street
Bruleville,4,"43.2161858360268,-79.87592697143555,43.22634957162557,-79.87202167510986,43.22375407102015,-79.86167907714842,43.213683733553026,-79.8660135269165,43.2161858360268,-79.87592697143555",2,3,,,,54,Settlers,Neighbourhood
Buchanan Street,4,"43.2417639421703,-79.87401723861694,43.242920644334326,-79.87352371215819",0,3,,,,55,"Business,Veterans",Street
Burkholder Drive,4,"43.22554044398498,-79.85527396202086,43.225114377287575,-79.85464632511139,43.22437950295877,-79.85176026821136",0,3,,,,56,Settlers,Street
Carruthers Lane,4,"43.29939255759937,-80.12720704078673,43.299759543424706,-80.12718558311462,43.30025926524216,-80.12694954872131,43.30075117489478,-80.12662768363953",0,3,,,,57,Settlers,Street
Case Street,4,"43.257268177516366,-79.83580112457275,43.25611174779537,-79.83088731765747",0,3,,,,58,Settlers,Street
Cavell Avenue,4,"43.25067310813282,-79.82511520385742,43.2519781133744,-79.8245894908905,43.25462710987754,-79.82344150543213",0,3,,,,59,Veterans,Street
Charles Street,4,"43.25325183403949,-79.87338423728943,43.25413482720896,-79.87300872802734",0,3,,,,60,Settlers,Street
Charlton Avenue,4,"43.25442394608389,-79.8912262916565,43.253329975544275,-79.88661289215088,43.2532362057265,-79.88654851913452,43.25211095665124,-79.88167762756348,43.251970299054996,-79.8814845085144,43.24978225017221,-79.87208604812622,43.24834434667743,-79.86618518829346,43.247703530924454,-79.86491918563843,43.24704707852862,-79.86094951629639,43.24645313931262,-79.85680818557739,43.245827933881486,-79.8557996749878,43.24498389637083,-79.8522162437439",0,3,,,,61,Politicians,Street
The Claremont Access,4,"43.24344427930887,-79.87533688545226,43.2445853190368,-79.874746799469,43.244897928931124,-79.87431764602661,43.24503860286023,-79.87380266189575,43.24540591658798,-79.8707664012909,43.24571461471019,-79.86773014068604,43.245941252842,-79.86504793167114,43.24621868802791,-79.86236572265625,43.24630856112703,-79.86171126365662,43.24650393697202,-79.86106216907501,43.24669931219038,-79.8606276512146,43.24692203917492,-79.86021995544434,43.24714476534508,-79.85993027687073,43.24738702797393,-79.85966742038727,43.247758234971435,-79.85936164855956,43.24814506933019,-79.85912024974822,43.25078251084366,-79.85791325569151,43.24345600242845,-79.87534761428833,43.24364357203463,-79.87535297870636,43.24433522996629,-79.87510621547699,43.24476116229974,-79.87477362155914,43.244968265936286,-79.87445175647736,43.245159738483295,-79.87392604351042,43.24554658934401,-79.87098097801208,43.24574196763291,-79.86894249916077,43.246281208458726,-79.86285924911499,43.246398434093564,-79.86190438270569,43.24668758969495,-79.86096024513245,43.24710178316515,-79.8601770401001,43.247445639755504,-79.85980153083801,43.24781293896926,-79.8595118522644,43.24819586557864,-79.85925436019897,43.24975880636571,-79.85859990119934,43.250110462515785,-79.85867500305176,43.250321455231294,-79.85883593559265,43.25050118919018,-79.85905051231384,43.25093098563692,-79.85965132713318,43.25126700620091,-79.85998392105103,43.251657725455814,-79.86009120941162,43.24515583088631,-79.87392872571945,43.24509917070186,-79.8742613196373,43.24506986368924,-79.87460732460022,43.24504837187101,-79.87495869398117,43.24505423327673,-79.8755407333374,43.245077678893985,-79.8764768242836,43.245089401699225,-79.87741827964783,43.245091355499866,-79.87836241722107,43.2449604507175,-79.87992882728575,43.24492137460853,-79.8801326751709,43.24484908374087,-79.88033920526505,43.244757254677204,-79.88053768873215,43.244628302992375,-79.88067984580994,43.24447981283539,-79.88080322742462,43.244294199630126,-79.88087028265,43.244092955200216,-79.88088369369507,43.24371781817754,-79.8808890581131,43.24326647838562,-79.8809078335762",0,3,,claremont.jpg,,62,Settlers,Street
Cline Avenue,4,"43.25484590089731,-79.91197586059569,43.25571324327656,-79.9116325378418,43.256432112282255,-79.91125702857971,43.256502435968414,-79.91106390953064,43.258112044803504,-79.91048455238342,43.25809251097076,-79.91084396839142,43.26194836808114,-79.90908980369568,43.26226870185979,-79.90882158279419,43.26319062869485,-79.90724444389343,43.26351095593715,-79.90657925605773,43.26374534065637,-79.90577459335327,43.26388597105477,-79.9051308631897,43.26387034547098,-79.90466952323914,43.26370627659918,-79.90384340286255,43.263448453192964,-79.90275979042053,43.26329219605173,-79.90262031555176",0,3,,,,63,"Farmers,Business",Street
